"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"14427";"";"ROYCO, Kaldu Ayam, 36x10g";;2.5;
"14428";"";"X.O, Garnelen Pasta, 227g";;2.99;
"14429";"";"Gew";;1.99;
"14430";"";"FINNA, Rudjak-W";;0.99;
"14431";"";"BUTTERFLY, Kemirie 1kg";;9.5;0
"14432";"";"ROYCO, Bumbu Pelezat Kaldu Sapi sachet, 100g";;3.5;
"14433";"";"INDOFOOD, Rendang(Rindfleisch Gerichte) Gewürze";;1.5;
"14434";"";"PUSAKA NUSANTARA, Kemirinuss, 100 g";;1.89;0
"14435";"";"ASLI, Knoblauch Pulver, 55 g";;1.69;
"14436";"";"ASLI, Zimt Pulver, 40 g";;1.69;
"14437";"";"ASLI, Currypulver, 50 g";;1.69;
"14438";"";"TRS, Currypulver Madras 100gr";;1.19;
"14439";"";"JEENY`S, gegrillte Trassie (in Block), 250 g";;2.99;0
"14440";"";"LUCULLUS, Kentjur gemahlen 35g";;2.89;
"14441";"";"ROYCO, Kaldu Ayam, 230g";;3.99;
"14443";"";"HALE`S BLUE BOY, Sala Siroop, 710ml";;2.89;
"14444";"";"ADARASA, Sekoteng, 5x30g";;1.99;
"14445";"";"SRIKANDI, Palmzucker, 250g";;1.49;
"14446";"";"LUCULLUS, Palm Zucker aus Java, 250 g";;2.99;
"14447";"";"RAPINDO, Palm Zucker 245g";;1.59;
"14448";"";"THAI Dancer, Palmzucker in Scheiben 200g";;2.59;
"14449";"";"FLYING GOOSE BRAND, Palmzucker Cup, 225g";;1.49;
"14450";"";"HALE`S BLUE BOY, Sirup mit Vanillegeschmack, 710mL";;2.89;
"14451";"";"MARJAN, Sirup mit Moccageschmack, 460ml";;4.5;
"14452";"";"PUSAKA NUSANTARA, Palmzucker, 240 g";;2.5;
"14453";"";"Kokosgelgewuerfel weiss 340 g";;1.99;0
"14455";"";"H&S, Sojabohnen, 250g";;0.69;
"14457";"";"H&S, Erdnüsse ohne Schale, 500g";;2.49;
"14462";"";"RAPINDO, Pelangi Kaca Dorf Cracker, 250g";;2.5;
"14463";"";"RAPINDO, Kroepoek Kampoeng Pesta Talie, 250g";;2.5;
"14464";"";"RAPINDO, Dorf Crackers Pesta Teratai, 250g";;2.5;
"14465";"";"CAP PAYUNG, Maniokchips, 250g";;1.99;
"14466";"";"CAP PAYUNG, scharfe Maniokchips, 250g";;2.19;
"14468";"";"RAPINDO, Dorf Krupuk Nudeln-Party, 250g";;2.5;
"14470";"";"RAPINDO, frohlich Kroepoek, 250g";;2.5;
"14471";"";"RAPINDO, Dorf Chips Pesta Roejak, 250g";;2.5;
"14472";"";"FINNA, Zwiebel Cracker, 380g";;2.99;
"14473";"";"INDOLAN, Rempeyek Terrie, 80g";;2.69;
"14474";"";"TIGA RASA, Frittierte Dorf Krupuk, 70g";;1.89;
"14475";"";"TIGA RASA, Frittierte Fischkrupuk Palembang, 60g";;1.99;
"14476";"";"RAPINDO, Gendar Krupuk süß-scharf, 200g";;2.5;
"14477";"";"TIGA RASA, Süße Emping mit Garnelengeschmack, 50g";;2.09;
"14478";"";"RAPINDO, Dorf Krupuk Schnecke-Party, 250g";;2.5;
"14479";"";"PONDOK LIMPUNG, Emping Melindjo, 200 g";;2.49;
"14480";"";"INDOLAN, JAVAANSE Rempejek  80g";;2.99;
"14481";"";"INDOLAN, JAVAANSE  Schrafes Rempejek  80g";;1.79;
"14482";"";"RAPINDO Dorf Kroepoek, S";;2.5;
