"Artikel-Nr.";"Ean";"Name";"Verkaufte Menge";"Umsatz Brutto";"Tags";"Lieferant";"Hersteller";"Herstellernummer"
"21078";"8991818111090";"FINNA, Chilipaste mit Garnelen, 190 g";"370";"1381,54";"";" ";"FINNA";""
"55006";"8998888110114";"MARJAN, Sirup mit Cocopandangeschmack, 460 ml";"316";"1374,52";"";" ";"MARJAN";""
"";"null";"null";"58";"1366,50";"";" ";"null";"null"
"22006";"8991199222194";"KARANGSARI, Erdnusssoße Mittelscharf, 200 g";"712";"1361,47";"";" ";"KARANGSARI";""
"";"null";"null";"85";"1321,20";"";" ";"null";"null"
"32159";"8886001026025";"ASTOR, Wafer Stick Roll, 150 g";"500";"1306,90";"";" ";"Astor";""
"";"null";"null";"320";"1265,63";"";" ";"null";"null"
"12136";"8801073113893";"SAMYANG, Instant-Nudeln Carbonara, 140 g";"954";"1259,71";"";" ";"SAMYANG";""
"21062";"8992984910135";"DUA BELIBIS, Chilli Soße, 340 ml";"431";"1242,56";"";" ";"DUA BELIBIS";""
"10055";"8717703616859";"ROYAL TIGER, Jasmin Reis, 5 kg";"138";"1239,31";"";" ";"ROYAL TIGER";""
"";"null";"null";"438";"1208,40";"";" ";"null";"null"
"50023";"8992936115014";"TONG TJI, Jasmine Teebeutel, 25 x 2 g";"384";"1183,03";"";" ";"TONG TJI";""
"12036";"089686171648";"INDOMIE, gebratene Nudeln mit Rendang Geschmack, 80 g";"2856";"1180,14";"";" ";"INDOMIE";""
"22007";"8991199322191";"KARANGSARI, Erdnusssoße nicht scharf, 200 g";"620";"1163,15";"";" ";"KARANGSARI";""
"";"null";"null";"294";"1157,80";"";" ";"null";"null"
"21072";"8994907000015";"ABC, Chilisoße Original, 335 ml";"399";"1147,04";"";" ";"ABC";""
"";"null";"null";"505";"1146,88";"";" ";"null";"null"
"";"null";"null";"657";"1102,19";"";" ";"null";"null"
"12100";"8801073110502";"SAMYANG, Instant-Nudeln Scharf, 140 g";"855";"1094,49";"";" ";"SAMYANG";""
"21074";"8994907000022";"ABC, Chilisoße extra Scharf, 335 ml";"380";"1093,43";"";" ";"ABC";""
"";"null";"null";"48";"1076,10";"";" ";"null";"null"
"21080";"8995899250358";"KOBE, BonCabe Chilli-Flocken lv30, 40 g";"313";"1067,50";"";" ";"KOBE";""
"32004";"8996001354131";"BENG-BENG, Schokolade Waffel, 20 x 22 g";"138";"1057,86";"";" ";"BENG-BENG";""
"32157";"8995077601279";"DUA KELINCI, Shanghai Erdnüsse Original, 1 kg";"133";"1055,20";"";" ";"DUA KELINCI";""
"";"null";"null";"455";"1053,15";"";" ";"null";"null"
"";"null";"null";"209";"1045,28";"";" ";"null";"null"
"";"null";"null";"2626";"1022,02";"";" ";"null";"null"
"";"null";"null";"432";"1016,95";"";" ";"null";"null"
"";"null";"null";"207";"1015,51";"";" ";"null";"null"
"32140";"8997031750528";"MAICHI, Cassava Chips Scharf Level 10, 100 g";"365";"978,46";"";" ";"MAICIH";""
"28045";"8927122888250";"NESIA, Zwiebel Chips Rawon, 250 g";"281";"975,75";"";" ";"NESIA";""
"";"null";"null";"334";"971,30";"";" ";"null";"null"
"23005";"711844110038";"ABC, süße Sojasoße, 600 ml";"280";"967,75";"";" ";"ABC";""
"31019";"8927122880643";"NESIA, Palmzucker, 245 g";"531";"965,43";"";" ";"NESIA";""
"12101";"8801073113428";"SAMYANG, Instant-Nudeln Ultra Scharf, 140 g";"748";"959,21";"";" ";"SAMYANG";""
"32163";"8995899213247";"KOBE, Boncabe Makaroni Crispy lv 15, 150 g";"366";"953,70";"";" ";"KOBE";""
"";"null";"null";"421";"944,28";"";" ";"null";"null"
"23010";"8990121011028";"BANGO, süße Sojasauce, 620 ml";"184";"925,50";"";" ";"BANGO";""
"";"null";"null";"377";"879,96";"";" ";"null";"null"
"32000";"8991668061897";"ARDANI, Tempe Chips, 150 g";"327";"872,20";"";" ";"ARDANI";""
"23009";"8999999002503";"BANGO, süße Sojasauce, 275 ml";"303";"860,48";"";" ";"BANGO";""
"";"null";"null";"340";"857,57";"";" ";"null";"null"
"51036";"8994171101371";"LUWAK, weißer Kaffee, 10 x 20 g";"181";"845,66";"";" ";"LUWAK";""
"28070";"8927122881213";"PONDOK LIMPUNG, Emping Melindjo, 1 kg";"101,5";"842,86";"";" ";"PONDOK LIMPUNG";""
"";"null";"null";"97";"842,00";"";" ";"null";"null"
"";"null";"null";"92";"837,85";"";" ";"null";"null"
"";"null";"null";"129";"834,13";"";" ";"null";"null"
"";"null";"null";"321";"832,58";"";" ";"null";"null"
"21082";"8992984910272";"DUA BELIBIS, Chilli Soße, 535 ml";"228";"832,10";"";" ";"DUA BELIBIS";""
"";"null";"null";"491";"828,41";"";" ";"null";"null"
"";"null";"null";"238";"826,35";"";" ";"null";"null"
"";"null";"null";"250";"814,93";"";" ";"null";"null"
"28077";"8993076920230";"FINNA, Emping Belindjo, 400 g";"175";"794,45";"";" ";"FINNA";""
"12086";"8886350067991";"PRIMA TASTE, LAKSA La Mian Nudeln in Kokosnuss-Suppe, 185 g";"303";"781,94";"";" ";"PRIMA TASTE";""
"29019";"8715266000092";"UDANG MAS, Fisch Chips Palembang, 65 g";"331";"769,27";"";" ";"UDANG MAS";""
"";"null";"null";"346";"764,18";"";" ";"null";"null"
"";"null";"null";"311";"757,96";"";" ";"null";"null"
"39004";"8717703620542";"GOLDEN TURTLE, Gefrorene Chilischoten, 250 g";"255";"753,60";"";" ";"GOLDEN TURTLE";""
"";"null";"null";"59";"751,95";"";" ";"null";"null"
"";"null";"null";"892";"745,89";"";" ";"null";"null"
"28019";"011747234436";"FINNA, Fisch Chips Oei, 500 g";"98";"734,14";"";" ";"FINNA";""
"";"null";"null";"202";"733,53";"";" ";"null";"null"
"";"null";"null";"25";"726,40";"";" ";"null";"null"
"16011";"8710853051709";"LUCULLUS, Kemirinuss, 1 kg";"70";"720,30";"";" ";"LUCULLUS";""
"";"null";"null";"431";"714,32";"";" ";"null";"null"
"39028";"8927122887932";"NESIA, Lorbeerblätter gefroren, 100 g";"198";"712,67";"";" ";"NESIA";""
"29022";"8927234887882";"NESIA, Emping Melinjo scharf, 150 g";"263";"709,14";"";" ";"NESIA";""
"";"null";"null";"411";"705,80";"";" ";"null";"null"
"21088";"8991818110130";"FINNA, grüne Chilipaste, 190 g";"189";"705,61";"";" ";"FINNA";""
"";"null";"null";"397";"705,49";"";" ";"null";"null"
"";"null";"null";"225";"704,84";"";" ";"null";"null"
"17059";"8994196101035";"MUNIK, Rendang Gewürze, 115 g";"172";"693,44";"";" ";"MUNIK";""
"32118";"8995077601514";"TICTAC, Pilus mit Geröstetem Rinder, 100 g";"700";"690,48";"";" ";"DUA KELINCI";""
"22010";"8991199622352";"KARANGSARI, Bumbu Gado-Gado (nicht scharf), 180 g";"345";"685,16";"";" ";"KARANGSARI";""
"28088";"8927122888120";"NESIA, Teratai Warna Zwiebelcracker, 250 g";"196";"680,05";"";" ";"NESIA";""
"12138";"8801073113312";"SAMYANG, Instant-Nudeln Käse Gescmack, 140 g";"518";"678,28";"";" ";"SAMYANG";""
"50008";"8999999195649";"SARIWANGI, Teebeutel, 25 x 2 g";"215";"674,57";"";" ";"SARIWANGI";""
"17016";"8992735210057";"BAMBOE, Rendang Würzpaste, 35 g";"590";"673,21";"";" ";"BAMBOE ";""
"40006";"8927122995323";"NESIA, Tape Manis, 500 g";"111";"662,80";"";" ";"NESIA";""
"";"null";"null";"388";"662,77";"";" ";"null";"null"
"23007";"711844110519";"ABC, süße Sojasöße 6kg (4,3L)";"41";"662,70";"";" ";"ABC";""
"";"null";"null";"330";"661,38";"";" ";"null";"null"
"";"null";"null";"167";"650,25";"";" ";"null";"null"
"";"null";"null";"206";"632,54";"";" ";"null";"null"
"21067";"8995899250341";"KOBE, BonCabe Original Chiligewürze lv 15, 45 g";"219";"632,25";"";" ";"KOBE";""
"29021";"8927234887899";"NESIA, Emping Melinjo süß, 150 g";"232";"618,81";"";" ";"NESIA";""
"";"null";"null";"250";"617,80";"";" ";"null";"null"
"";"null";"null";"27";"615,60";"";" ";"null";"null"
"32167";"8995077600364";"DUA KELINCI, Shanghai Erdnüsse Original, 450 g";"137";"615,15";"";" ";"DUA KELINCI";""
"";"null";"null";"251";"609,65";"";" ";"null";"null"
"32137";"8714384001394";"X.O, Cassava Chips / Maniok, 250g";"231";"599,55";"";" ";"X.O";""
"28020";"011747234443";"FINNA, Garnelen Chips Oei, 500 g";"80";"598,78";"";" ";"FINNA";""
"";"null";"null";"536";"593,31";"";" ";"null";"null"
"28090";"8927122888144";"NESIA, ZWiebelnchips Talie Warna, 250 g";"168";"583,98";"";" ";"NESIA";""
"18031";"8999999516208";"ROYCO, Hühnerbrühe, 230 g";"163";"583,94";"";" ";"ROYCO";""
"";"null";"null";"175";"579,07";"";" ";"null";"null"
"28089";"8991818080105";"BAHAGIA, Garnelen Chips, 500 g";"105";"575,02";"";" ";"BAHAGIA";""
"16068";"8714384018200";"BERLIAN, Kemirinuss, 1 kg";"47";"571,88";"";" ";"BERLIAN";""
"";"null";"null";"482";"569,80";"";" ";"null";"null"
"28087";"8927234887820";"NESIA, Gendar mit Knoblauch-Geschmack, 200 g";"163";"565,08";"";" ";"NESIA";""
"39003";"8851035810001";"gefrorene Pete, 200 g";"114";"565,06";"";" ";"BDMP";""
"40000";"8927122880681";"Bika Ambon (Fertigkuchen) 600g";"71";"563,63";"";" ";"NESIA";""
"32034";"653314502540";"KUSUKA, Cassava Chips mit Balado Geschmack, 180 g";"226";"562,63";"";" ";"KUSUKA";""
"16065";"8992770034168";"MASAKO, Rindfleisch-Extrakt-Gewürz, 250 g";"162";"550,79";"";" ";"MASAKO";""
"32033";"653314502120";"KUSUKA, Cassava Chips Original, 180 g";"222";"550,25";"";" ";"KUSUKA";""
"38014";"4260316130051";"Treiber Tofu, Natur Tofu, 450 g";"366";"545,92";"";" ";"";""
"32048";"733894323114";"MORISCA, Schichtkuchen mit Pandan Geschmack, 365 g";"155";"544,53";"";" ";"MORISCA";""
"16071";"8994155200144";"CAP WAYANG, Kemirinuss, 1 kg";"50";"542,20";"";" ";"CAP WAYANG";""
"";"null";"null";"167";"540,24";"";" ";"null";"null"
"12145";"8997222130016";"LEMONILO, Mie Goreng Geschmack, 80 g";"573";"538,46";"";" ";"LEMONILO";""
"";"null";"null";"179";"537,75";"";" ";"null";"null"
"16064";"8992770034151";"MASAKO, Hühnerfleisch-Extrakt-Gewürz, 250 g";"150";"536,77";"";" ";"MASAKO";""
"";"null";"null";"136";"534,46";"";" ";"null";"null"
"";"null";"null";"69";"533,60";"";" ";"null";"null"
"10021";"8005734100325";"SUN CLAD, Basmati Reis, 5 kg";"41";"531,70";"";" ";"SUN CLAD";""
"";"null";"null";"195";"528,78";"";" ";"null";"null"
"16072";"8994155700392";"CAP WAYANG, Kemirinuss, 500 g";"91";"526,25";"";" ";"CAP WAYANG";""
"";"null";"null";"183";"522,51";"";" ";"null";"null"
"14757";"8994155110047";"CAP WAYANG, Aren Zucker, 250 g";"193";"521,00";"";" ";"CAP WAYANG";""
"32015";"8992775220092";"GARUDA, Erdnuss-Atom Knoblauch, 200 g";"265";"520,82";"";" ";"GARUDA";""
"32006";"8995077600135";"DUA KELINCI, Shanghai Erdnüsse Original, 200 g";"260";"516,80";"";" ";"DUA KELINCI";""
"32047";"733894323077";"MORISCA, Schichtkuchen Original, 365 g";"146";"510,79";"";" ";"MORISCA";""
"";"null";"null";"102";"505,49";"";" ";"null";"null"
"52007";"8996001440124";"ENERGEN, Instant Cereal Vanille, 10x30 g";"112";"500,67";"";" ";"ENERGEN";""
"";"null";"null";"259";"499,23";"";" ";"null";"null"
"32123";"8995077600807";"TICTAC, Pilus Original, 100 g";"515";"496,63";"";" ";"DUA KELINCI";""
"28048";"8927122888205";"NESIA, Kroepoek Kampoeng Oelang Tahoen, 250 g";"142";"495,37";"";" ";"NESIA";""
"";"null";"null";"111";"495,00";"";" ";"null";"null"
"55007";"8998888110213";"MARJAN, Sirup mit Honigmelonengeschmack, 460 ml";"111";"494,10";"";" ";"MARJAN";""
"28047";"8927122888137";"NESIA, Krupuk Kampoeng Teratai Mas, 250 g";"145";"488,95";"";" ";"NESIA";""
"32172";"8995899214244";"KOBE, Boncabe Makaroni Crispy lv 10, 150 g";"182";"488,77";"";" ";"KOBE";""
"12135";"089686170344";"INDOMIE, Instant-Nudeln Gemüsegeschmack, 80g";"1199";"488,77";"";" ";"INDOMIE";""
"";"null";"null";"89";"487,90";"";" ";"null";"null"
"17121";"6922130105100";"TOTOLE, Champignon Bouillon, 80 g";"192";"479,00";"";" ";"TOTOLE";""
