"Artikel-Nr.";"Ean";"Name";"Verkaufte Menge";"Umsatz Brutto";"Tags";"Lieferant";"Hersteller";"Herstellernummer"
"";"null";"null";"134";"281,83";"";" ";"null";"null"
"23034";"8994907000046";"ABC, süße scharfe Sojasauce, 275 ml";"117";"280,60";"";" ";"ABC";""
"51039";"8994171101746";"LUWAK, Black Kaffee Pulver, 65 g";"127";"280,43";"";" ";"LUWAK";""
"";"null";"null";"127";"280,13";"";" ";"null";"null"
"";"null";"null";"188";"279,79";"";" ";"null";"null"
"32035";"653314502526";"KUSUKA, Cassava Chips mit Bali Spicy Geschmack, 180 g";"112";"279,13";"";" ";"KUSUKA";""
"32116";"8995077600814";"TICTAC, Pilus Scharfes, 100g";"280";"276,31";"";" ";"DUA KELINCI";""
"";"null";"null";"149";"276,22";"";" ";"null";"null"
"35071";"8991001301031";"CERES, Schokostreussel Classic, 225g";"70";"275,16";"";" ";"CERES";""
"25009";"8710917003026";"WIJSMAN, Butter, 454 g";"32";"274,88";"";" ";"WIJSMAN";""
"";"null";"null";"145";"273,15";"";" ";"null";"null"
"81003";"8993176803099";"CAP LANG, Telonöl, 60 ml";"76";"272,21";"";" ";"CAP LANG";""
"";"null";"null";"101";"271,75";"";" ";"null";"null"
"";"null";"null";"230";"271,06";"";" ";"null";"null"
"21060";"8993440141261";"NESIA, Chilipaste (Sambal) Geprek, 220 g";"75";"269,89";"";" ";"NESIA";""
"17007";"8992735210088";"BAMBOE, gebratenes Huhn Würzpaste, 33 g";"235";"269,25";"";" ";"BAMBOE ";""
"17010";"8992735210019";"BAMBOE, Indonesische Currysuppe (Gulai) Würzpaste, 35 g";"231";"264,84";"";" ";"BAMBOE ";""
"32038";"653314502137";"KUSUKA, Cassava Chips mit Cheese Burger Geschmack, 180 g";"106";"264,46";"";" ";"KUSUKA";""
"51032";"8997234000017";"IDN.CO, Indonesischer Premium Kaffeebohnen GAYO, 250 g";"27";"263,44";"";" ";"IDN.CO";""
"30018";"627404020467";"ASIAN BOY, gebratene Schalotten, 200 g";"106";"263,25";"";" ";"ASIAN BOY";""
"21084";"8993440140462";"NESIA, Chilipaste (Sambal) Roa, 210 g";"65";"262,29";"";" ";"NESIA";""
"";"null";"null";"265";"262,07";"";" ";"null";"null"
"";"null";"null";"231";"262,05";"";" ";"null";"null"
"";"null";"null";"312";"262,04";"";" ";"null";"null"
"";"null";"null";"76";"261,63";"";" ";"null";"null"
"";"null";"null";"143";"260,59";"";" ";"null";"null"
"32162";"8996001312353";"ROMA, Malkist Kelapa Kopyor, 252 g";"176";"259,53";"";" ";"MAYORA";""
"";"null";"null";"44";"259,00";"";" ";"null";"null"
"";"null";"null";"77";"259,00";"";" ";"null";"null"
"82001";"8992870410121";"HISAMITSU, Salonpas Hot, 12 Blätter";"104";"259,00";"";" ";"HISAMITSU";""
"14000";"8995899110515";"KOBE, Teigmischung für Bakwan, 75 g";"173";"258,33";"";" ";"KOBE";""
"";"null";"null";"111";"257,88";"";" ";"null";"null"
"";"null";"null";"20";"257,85";"";" ";"null";"null"
"";"null";"null";"87";"257,56";"";" ";"null";"null"
"";"null";"null";"224";"255,45";"";" ";"null";"null"
"32037";"653314502151";"KUSUKA, Cassava Chips mit schwarzer Pfeffer Geschmack, 180 g";"102";"254,50";"";" ";"KUSUKA";""
"70000";"8927234887516";"NESIA, Stein Kugel (Cobek), 20 cm";"13";"254,00";"";" ";"NESIA";""
"";"null";"null";"104";"252,68";"";" ";"null";"null"
"18005";"9556092781200";"JEENY`S, gegrillte Trassie (in Block), 25g";"259";"251,80";"";" ";"JEENY'S";""
"";"null";"null";"92";"251,10";"";" ";"null";"null"
"17014";"8992735210033";"BAMBOE, Weißcurrysuppe (Opor) Würzpaste, 36 g";"219";"250,76";"";" ";"BAMBOE ";""
"12147";"8997222130207";"LEMONILO, Hähnchen Curry Geschmack, 80 g";"270";"250,32";"";" ";"LEMONILO";""
"";"null";"null";"105";"250,13";"";" ";"null";"null"
"";"null";"null";"83";"248,50";"";" ";"null";"null"
"";"null";"null";"72";"247,63";"";" ";"null";"null"
"";"null";"null";"56";"245,64";"";" ";"null";"null"
"";"null";"null";"130";"245,29";"";" ";"null";"null"
"12146";"8997222130191";"LEMONILO, Zwiebel-Hühnchen-Geschmack, 80 g";"262";"245,10";"";" ";"LEMONILO";""
"29007";"8715266000016";"UDANG MAS, Garnelen Cracker, 80 g";"198";"244,12";"";" ";"UDANG MAS";""
"";"null";"null";"90";"243,47";"";" ";"null";"null"
"12150";"8997878700366";"LEMONILO, Korean Scharf, 85 g";"257";"243,39";"";" ";"LEMONILO";""
"32152";"8992775226513";"GARUDA, Erdnuss Atom Knoblauch, 1kg";"33";"242,25";"";" ";"GARUDA";""
"32042";"653314506012";"KUSUKA, Cassava Chips mit Algen Geschmack, 180 g";"97";"241,88";"";" ";"KUSUKA";""
"42013";"42013";"Warung Bakso, Bakso Tetelan Cabe, 360g";"22";"241,80";"";" ";"Warung Bakso";""
"12108";"089686170108";"INDOMIE, Instant-Nudeln mit Hähnchen Geschmack, 70 g";"570";"241,10";"";" ";"INDOMIE";""
"";"null";"null";"20";"240,30";"";" ";"null";"null"
"";"null";"null";"252";"239,16";"";" ";"null";"null"
"";"null";"null";"90";"238,77";"";" ";"null";"null"
"";"null";"null";"92";"237,53";"";" ";"null";"null"
"28050";"8927122887918";"NESIA, Garnelenchips 6 cm, 250 g";"68";"237,47";"";" ";"NESIA";""
"12152";"8996001524039";"SUPER BUBUR, Instant Porridge Curry Geschmack, 46 g";"158";"236,70";"";" ";"MAYORA";""
"39032";"8927122887963";"NESIA, Papaya Blätter gefroren, 200 g";"74";"235,88";"";" ";"NESIA";""
"11022";"8993118731022";"BIHUNKU, Gebratene Instant-Reisnudeln, 60 g";"369";"234,88";"";" ";"TPS Food";""
"18032";"8999999516215";"ROYCO, Rinderbrühe, 230 g";"67";"234,34";"";" ";"ROYCO";""
"";"null";"null";"489";"234,08";"";" ";"null";"null"
"";"null";"null";"82";"233,93";"";" ";"null";"null"
"21091";"8991818800895";"FINNA, Sambal Rawit, 180g";"62";"232,50";"";" ";"FINNA";""
"";"null";"null";"205";"232,38";"";" ";"null";"null"
"35009";"8992984821226";"KOEPOE-KOEPOE, Back-Hilfsmittel TBM, 80 g";"95";"232,20";"";" ";"KOEPOE-KOEPOE";""
"";"null";"null";"205";"231,73";"";" ";"null";"null"
"";"null";"null";"203";"231,00";"";" ";"null";"null"
"35069";"8927122887734";"NESIA, Kloewek Noten, 100 g";"77";"230,58";"";" ";"NESIA";""
"";"null";"null";"22";"229,95";"";" ";"null";"null"
"16000";"8710853030551";"LUCULLUS, Kemirinuss, 100 g";"92";"229,38";"";" ";"LUCULLUS";""
"";"null";"null";"115";"228,85";"";" ";"null";"null"
"";"null";"null";"83";"228,45";"";" ";"null";"null"
"19011";"8715017990825";"MORJON, Sardinella in der Tomatensoße, 425 g";"77";"227,93";"";" ";"MORJON";""
"";"null";"null";"117";"226,97";"";" ";"null";"null"
"";"null";"null";"22";"226,80";"";" ";"null";"null"
"39036";"8717703620566";"GOLDEN TURTLE, Gemüse Whole Galanga, 250 g";"91";"226,25";"";" ";"GOLDEN TURTLE";""
"32117";"8995077602498";"TICTAC, Pilus Algen Geschmack, 100 g";"227";"224,73";"";" ";"DUA KELINCI";""
"81014";"8997916248829";"CAP TAWON, Minyak Gosok FF, 90 ml";"28";"223,94";"";" ";"CAP TAWON";""
"";"null";"null";"62";"223,79";"";" ";"null";"null"
"";"null";"null";"187";"223,76";"";" ";"null";"null"
"";"null";"null";"199";"223,53";"";" ";"null";"null"
"23037";"711844110748";"ABC, süße Sojasoße extra scharf, 400 ml";"64";"223,47";"";" ";"ABC";""
"13022";"8993296201119";"SEGITIGA BIRU, Weizenmehl, 1 Kg";"49";"222,53";"";" ";"BOGASARI";""
"12014";"089686170047";"INDOMIE, Special Chicken, 75 g";"560";"221,80";"";" ";"INDOMIE";""
"";"null";"null";"117";"221,23";"";" ";"null";"null"
"";"null";"null";"63";"220,91";"";" ";"null";"null"
"39040";"8927122887994";"NESIA, Kurkuma Blätter gefroren, 200 g";"64";"219,50";"";" ";"NESIA";""
"";"null";"null";"76";"219,35";"";" ";"null";"null"
"80004";"8998898809114";"SIDOMUNCUL, tumerisches Drinks, 5 x 25 g";"75";"219,15";"";" ";"SIDOMUNCUL";""
"";"null";"null";"217";"217,47";"";" ";"null";"null"
"39043";"4250357410366";"EXCELLENT, White Tiger Garnelen, 800 g";"21";"217,35";"";" ";"Excellent";""
"31017";"8714384000243";"Nivo, Palmzucker 500g";"72";"215,10";"";" ";"";""
"";"null";"null";"23";"214,70";"";" ";"null";"null"
"17106";"8992735248692";"BAMBOE, Balado Würzpaste, 50 g";"187";"214,65";"";" ";"BAMBOE ";""
"";"null";"null";"62";"214,20";"";" ";"null";"null"
"";"null";"null";"76";"212,74";"";" ";"null";"null"
"41012";"9556092093822";"JEFI, gefrorene Anchovy klein, 100 g";"54";"212,70";"";" ";"JEFI";""
"55015";"8998888111517";"MARJAN, Sirup mit Rosengeschmack, 460 ml";"48";"212,63";"";" ";"MARJAN";""
"";"null";"null";"113";"211,50";"";" ";"null";"null"
"32166";"8996001302323";"ROMA, Malkist Abon, 135 g";"139";"210,71";"";" ";"MAYORA";""
"";"null";"null";"27";"210,00";"";" ";"null";"null"
"";"null";"null";"110";"208,44";"";" ";"null";"null"
"";"null";"null";"61";"208,29";"";" ";"null";"null"
"32095";"8927122888199";"NESIA, Süß&Würzig Zwiebelnchips Gendar , 200 g";"60";"208,07";"";" ";"NESIA";""
"81006";"8995154600010";"TJIN TJAU, Balsam, 36 g";"52";"207,08";"";" ";"TJIN TJAU";""
"42019";"42013";"Warung Bakso, Bakso Tetelan";"19";"205,95";"";" ";"Warung Bakso";""
"33007";"8992717144820";"KARA, Nata de coco Vanille, 220 ml";"173";"205,74";"";" ";"KARA";""
"";"null";"null";"171";"202,63";"";" ";"null";"null"
"";"null";"null";"28";"202,50";"";" ";"null";"null"
"33004";"8992717822209";"KARA, Nata de coco Litschi, 220 ml";"170";"202,20";"";" ";"KARA";""
"56038";"8850389113295";"MOGU-MOGU, Melonegeschmack mit Nata de Coco, 320ml";"169";"202,16";"";" ";"MOGU-MOGU";""
"";"null";"null";"45";"202,05";"";" ";"null";"null"
"";"null";"null";"107";"200,99";"";" ";"null";"null"
"12149";"8801073113404";"SAMYANG, Instant-Nudeln Curry Geschmack, 140 g";"156";"199,50";"";" ";"SAMYANG";""
"38020";"4260316130273";"Treiber Tofu, Gebackenertofu, 200g";"82";"199,50";"";" ";"Treiber Tofu";""
"";"null";"null";"80";"199,50";"";" ";"null";"null"
"";"null";"null";"118";"197,90";"";" ";"null";"null"
"";"null";"null";"62";"197,78";"";" ";"null";"null"
"";"null";"null";"246";"197,41";"";" ";"null";"null"
"";"null";"null";"79";"197,25";"";" ";"null";"null"
"";"null";"null";"57";"197,05";"";" ";"null";"null"
"";"null";"null";"101";"197,01";"";" ";"null";"null"
"";"null";"null";"171";"195,73";"";" ";"null";"null"
"";"null";"null";"91";"195,48";"";" ";"null";"null"
"21086";"8992770096234";"SAORI, Teriyaki Söße, 275 ml";"56";"194,78";"";" ";"SAORI";""
"";"null";"null";"95";"194,65";"";" ";"null";"null"
"";"null";"null";"98";"194,24";"";" ";"null";"null"
"";"null";"null";"73";"194,19";"";" ";"null";"null"
"";"null";"null";"171";"193,42";"";" ";"null";"null"
"70033";"8927234887523";"NESIA, Stein Kugel (Cobek), 24 cm";"8";"192,00";"";" ";"NESIA";""
"";"null";"null";"55";"191,45";"";" ";"null";"null"
"33003";"8992717822216";"KARA, Nata de coco Cocopandan, 220 ml";"160";"191,16";"";" ";"KARA";""
"";"null";"null";"48";"191,01";"";" ";"null";"null"
"56041";"8850367992140";"CHAOKOH, Kokosnusswasser, 330 ml";"130";"190,80";"";" ";"CHAOKOH";""
"";"null";"null";"64";"190,47";"";" ";"null";"null"
"56047";"8850389107515";"MOGU-MOGU, Litschigeschmack, 1 L";"70";"189,43";"";" ";"MOGU-MOGU";""
"54004";"8993371100214";"INTRA, Serbat Wangi, 20x22, 5 g";"38";"189,37";"";" ";"INTRA";""
"";"null";"null";"19";"189,20";"";" ";"null";"null"
"";"null";"null";"148";"189,11";"";" ";"null";"null"
"17021";"8992735210064";"BAMBOE, gelbe Hänchensuppe Würzpaste (Soto Ayam), 40 g";"165";"187,56";"";" ";"BAMBOE ";""
"";"null";"null";"54";"187,32";"";" ";"null";"null"
"";"null";"null";"164";"186,82";"";" ";"null";"null"
"";"null";"null";"71";"186,46";"";" ";"null";"null"
"19004";"044738210690";"CHAOKOH, Junge grüne Jackfrucht, 560 g";"84";"186,43";"";" ";"CHAOKOH";""
"";"null";"null";"118";"184,67";"";" ";"null";"null"
"";"null";"null";"478";"184,51";"";" ";"null";"null"
"39031";"8851035821007";"BDMP, Tiergefrorene Limettenblätter, 100 g";"74";"182,63";"";" ";"BDMP";""
"17110";"8992735249743";"BAMBOE, gebratener Reis Scharf Würzpaste, 40 g";"159";"182,22";"";" ";"BAMBOE ";""
"14007";"8995899110317";"KOBE, Teigmischung für gebratene Bananen, 75 g";"122";"182,03";"";" ";"KOBE";""
"";"null";"null";"153";"181,56";"";" ";"null";"null"
"50026";"8992936115069";"TONG TJI, Grüne Tee, 25 x 2 g";"64";"180,23";"";" ";"TONG TJI";""
"28092";"28092";"NESIA, Garnelen Chips Lose, 1 kg";"21";"179,80";"";" ";"NESIA";""
"";"null";"null";"36";"179,64";"";" ";"null";"null"
"";"null";"null";"92";"179,39";"";" ";"null";"null"
"";"null";"null";"52";"179,14";"";" ";"null";"null"
"20002";"8851613101392";"AROY-D, Kokosmilch im Karton, 1000 ml";"57";"179,12";"";" ";"AROY-D";""
"17111";"8992735249736";"BAMBOE, Javanisches Huhn (Kalasan) Würzpaste, 55 g";"156";"179,05";"";" ";"BAMBOE ";""
"";"null";"null";"64";"179,04";"";" ";"null";"null"
"28036";"8927122881312";"NESIA, Chips Bawang Matahari, 250 g";"52";"179,03";"";" ";"NESIA";""
"";"null";"null";"76";"178,93";"";" ";"null";"null"
"";"null";"null";"91";"178,81";"";" ";"null";"null"
"";"null";"null";"154";"177,10";"";" ";"null";"null"
"55014";"8998888110817";"MARJAN, Sirup mit Litchigeschmack 460 ml";"40";"176,63";"";" ";"MARJAN";""
"";"null";"null";"50";"176,20";"";" ";"null";"null"
"14467";"";"Cap Wayang, kleine Nudelnchips, 250g";"44";"176,00";"";" ";"CAP WAYANG";""
"14461";"8994155110108";"CAP WAYANG, bunte Thunfisch Crackers Palembang, 250 g";"44";"176,00";"";" ";"CAP WAYANG";""
"51033";"8997234000024";"IDN.CO, Indonesischer Premium Kaffeebohnen MANDHELING, 250 g";"18";"175,43";"";" ";"IDN.CO";""
"";"null";"null";"65";"174,85";"";" ";"null";"null"
"42017";"42017";"Warung Bakso, Bakso Urat (Sehne), 470g";"16";"174,75";"";" ";"Warung Bakso";""
"17009";"8992735210101";"BAMBOE, Rujaksoße für gegrilltes Hähnchen, 46 g";"152";"174,38";"";" ";"BAMBOE ";""
"";"null";"null";"14";"173,88";"";" ";"null";"null"
"39005";"8717703615555";"GOLDEN TURTLE, Gefrorene Zitronengras, 250g";"70";"173,50";"";" ";"GOLDEN TURTLE";""
"";"null";"null";"14";"173,30";"";" ";"null";"null"
"17107";"8992735249361";"BAMBOE, gelber Reis Würzpaste, 50 g";"151";"173,07";"";" ";"BAMBOE ";""
"";"null";"null";"70";"173,00";"";" ";"null";"null"
"";"null";"null";"96";"172,90";"";" ";"null";"null"
"11023";"8993118731046";"BIHUNKU, Hähnchen Zwiebeln Instant-Reisnudeln, 55 g";"272";"172,55";"";" ";"TPS Food";""
"";"null";"null";"64";"172,27";"";" ";"null";"null"
"";"null";"null";"7";"172,00";"";" ";"null";"null"
"20006";"8850367100026";"CHAOKOH, Kokosmilch, 1l";"50";"170,78";"";" ";"CHAOKOH";""
"35081";"8992933215113";"NUTRIJELL, Jellypulver Original Geschmack, 15 g";"172";"170,65";"";" ";"Nutrijell";""
"";"null";"null";"66";"170,42";"";" ";"null";"null"
"21015";"8993440110052";"CAP IBU, Chilipaste (Sambal) Pemuda Extra Scharf, 230 g";"48";"170,13";"";" ";"CAP IBU";""
"32131";"8992775110126";"GARUDA, geröstete Erdnüsse ungeschält, 200 g";"80";"170,08";"";" ";"GARUDA";""
"";"null";"null";"65";"169,50";"";" ";"null";"null"
"14028";"8995899110621";"KOBE, Mehrzweckgewürzmischung Special, 75 g";"113";"168,53";"";" ";"KOBE";""
"";"null";"null";"65";"168,32";"";" ";"null";"null"
"";"null";"null";"94";"168,27";"";" ";"null";"null"
"";"null";"null";"43";"167,98";"";" ";"null";"null"
"";"null";"null";"13";"167,40";"";" ";"null";"null"
"10005";"8888123600312";"NORTH SOUTH, Schwarzer Klebreis, 400 g";"53";"166,91";"";" ";"NORTH SOUTH";""
"";"null";"null";"68";"166,60";"";" ";"null";"null"
"23017";"8992917193505";"SEDAP WANGI, Sojasauce Englisch, 300 ml";"42";"166,58";"";" ";"SEDAP WANGI";""
"17011";"8992735210026";"BAMBOE, Javanische Curry Paste, 36 g";"146";"166,46";"";" ";"BAMBOE ";""
"";"null";"null";"68";"166,07";"";" ";"null";"null"
"17017";"8992735248173";"BAMBOE, Rinderleber in Chili (Sambel Goreng Ati) Würzpaste, 54 g";"145";"166,06";"";" ";"BAMBOE ";""
"17020";"8992735210125";"BAMBOE, Rinder/Hähnchen Suppe (SOP) Würzpaste, 49 g";"145";"165,89";"";" ";"BAMBOE ";""
"";"null";"null";"192";"165,41";"";" ";"null";"null"
"30003";"8728200408663";"GOLDEN TURTLE, Gebratene Zwiebeln, 200 g";"83";"164,84";"";" ";"GOLDEN TURTLE";""
"";"null";"null";"51";"164,57";"";" ";"null";"null"
"";"null";"null";"166";"164,34";"";" ";"null";"null"
"";"null";"null";"66";"164,25";"";" ";"null";"null"
"";"null";"null";"47";"164,15";"";" ";"null";"null"
"14006";"8995899130315";"KOBE, Kentucky Super Crispy, 75 g";"110";"164,12";"";" ";"KOBE";""
"";"null";"null";"43";"164,01";"";" ";"null";"null"
"";"null";"null";"176";"163,57";"";" ";"null";"null"
"";"null";"null";"189";"163,40";"";" ";"null";"null"
"";"null";"null";"93";"163,02";"";" ";"null";"null"
"";"null";"null";"37";"162,00";"";" ";"null";"null"
"70008";"011747236720";"SRUUT, Cendol Sieb 1 Set";"31";"161,95";"";" ";"SRUUT";""
"";"null";"null";"51";"161,82";"";" ";"null";"null"
"";"null";"null";"18";"161,70";"";" ";"null";"null"
"42021";"42015";"Warung Bakso, Bakso Cincang Cabe, 320g";"15";"161,70";"";" ";"Warung Bakso";""
"";"null";"null";"81";"160,70";"";" ";"null";"null"
"23003";"711844110113";"ABC, süße Sojasoße, 135 ml";"85";"160,08";"";" ";"ABC";""
"";"null";"null";"331";"159,13";"";" ";"null";"null"
"";"null";"null";"57";"159,04";"";" ";"null";"null"
"35090";"8992933216110";"NUTRIJELL, Jellypulver mit Mango-Geschmack, 15 g";"159";"158,68";"";" ";"Nutrijell";""
"";"null";"null";"161";"158,20";"";" ";"null";"null"
"";"null";"null";"405";"157,44";"";" ";"null";"null"
"";"null";"null";"56";"155,77";"";" ";"null";"null"
"35015";"8992984821318";"KOEPOE-KOEPOE, SP, 30 g";"80";"155,63";"";" ";"KOEPOE-KOEPOE";""
"23022";"8715035110106";"KIKKOMAN, Sojasoße, 150 ml";"49";"155,51";"";" ";"KIKKOMAN";""
"";"null";"null";"82";"154,41";"";" ";"null";"null"
"";"null";"null";"396";"154,05";"";" ";"null";"null"
"";"null";"null";"395";"154,01";"";" ";"null";"null"
"23036";"8999999502010";"BANGO, Süße Sojasoße Gallon, 5L";"6";"154,00";"";" ";"BANGO";""
"";"null";"null";"28";"154,00";"";" ";"null";"null"
"13017";"8993296301116";"KUNCI BIRU, Weizenmehl, 1 kg";"34";"153,99";"";" ";"BOGASARI";""
"35048";"8997220180112";"SWALLOW GLOBE, Agar-Agar Pulver Roterfarbe, 7 g";"103";"153,60";"";" ";"SWALLOW GLOBE";""
"";"null";"null";"44";"153,48";"";" ";"null";"null"
"";"null";"null";"44";"152,95";"";" ";"null";"null"
"13012";"8728200404160";"WIND MILL, Tapiokamehl, 400 g";"102";"152,18";"";" ";"WIND MILL";""
"";"null";"null";"61";"151,93";"";" ";"null";"null"
"";"null";"null";"38";"151,62";"";" ";"null";"null"
"11021";"8993118731077";"BIHUNKU, Instant-fadennudeln Soto Geschmack, 55 g";"242";"151,50";"";" ";"TPS Food";""
"35045";"8997220180150";"SWALLOW GLOBE, Agar-Agar Pulver braun, 7 g";"101";"151,28";"";" ";"SWALLOW GLOBE";""
"";"null";"null";"76";"151,08";"";" ";"null";"null"
"";"null";"null";"89";"150,94";"";" ";"null";"null"
"30001";"627404020382";"ASIAN BOY, gebratene Schalotten, 500 g";"30";"150,84";"";" ";"ASIAN BOY";""
"";"null";"null";"52";"150,28";"";" ";"null";"null"
"";"null";"null";"53";"150,18";"";" ";"null";"null"
"";"null";"null";"76";"149,47";"";" ";"null";"null"
"";"null";"null";"164";"149,17";"";" ";"null";"null"
"28091";"8927122888281";"NESIA, Rengginang Salzig, 200 g";"43";"148,93";"";" ";"NESIA";""
"";"null";"null";"131";"148,32";"";" ";"null";"null"
"17113";"8992735248647";"BAMBOE, Rindersuppe (Soto Betawi) Würzpaste, 65 g";"129";"147,60";"";" ";"BAMBOE ";""
"";"null";"null";"40";"147,60";"";" ";"null";"null"
"";"null";"null";"42";"147,45";"";" ";"null";"null"
"";"null";"null";"120";"147,39";"";" ";"null";"null"
"22009";"8710411045003";"PINDAKAAS, Erdnuss paste, 500 g";"42";"146,82";"";" ";"PINDAKAAS";""
"";"null";"null";"42";"146,30";"";" ";"null";"null"
"51043";"8997234000086";"IDN.CO, Indonesischer Premium Kaffee JAVA PREANGER, 250 g";"15";"146,06";"";" ";"IDN.CO";""
"";"null";"null";"7";"145,80";"";" ";"null";"null"
"";"null";"null";"42";"144,20";"";" ";"null";"null"
"";"null";"null";"64";"143,98";"";" ";"null";"null"
"";"null";"null";"25";"143,85";"";" ";"null";"null"
"23008";"711844115026";"ABC, salzige Sojasoße, 600 ml";"41";"143,79";"";" ";"ABC";""
"";"null";"null";"163";"142,78";"";" ";"null";"null"
"51000";"9311931184037";"INDOCAFE, Coffeemix Instant, 5x20g";"57";"142,50";"";" ";"INDOCAFE";""
"13021";"8993296101112";"CAKRA KEMBAR, Weizenmehl, 1 kg";"31";"141,61";"";" ";"BOGASARI";""
"";"null";"null";"61";"141,54";"";" ";"null";"null"
"17012";"8992735210132";"BAMBOE, Lodeh (Buntgemüse in Kokossauce) Würzpaste, 54 g";"123";"141,16";"";" ";"BAMBOE ";""
"33005";"8992717781056";"KARA, Nata de coco Manggo, 220 ml";"118";"141,12";"";" ";"KARA";""
"";"null";"null";"49";"140,74";"";" ";"null";"null"
"";"null";"null";"52";"140,28";"";" ";"null";"null"
"";"null";"null";"7";"140,00";"";" ";"null";"null"
"42022";"42015";"Warung Bakso, Batagor";"13";"139,70";"";" ";"Warung Bakso";""
"55017";"8998888172112";"MARJAN, Sirup mit Maracujageschmack (Markisa), 460 ml";"31";"139,50";"";" ";"MARJAN";""
"";"null";"null";"73";"139,30";"";" ";"null";"null"
"";"null";"null";"14";"139,00";"";" ";"null";"null"
"12541";"8852646114007";"THAI DANCER, Asam (Tamarind), 400 g";"52";"138,97";"";" ";"THAI DANCER";""
"33006";"8992717781094";"KARA, Nata de coco Erdbeer, 220 ml";"116";"138,36";"";" ";"KARA";""
"";"null";"null";"39";"136,50";"";" ";"null";"null"
"42015";"42015";"Warung Bakso, Bakso Cincang, 260g";"13";"136,20";"";" ";"Warung Bakso";""
"";"null";"null";"210";"136,04";"";" ";"null";"null"
"";"null";"null";"71";"135,62";"";" ";"null";"null"
"";"null";"null";"114";"135,45";"";" ";"null";"null"
"";"null";"null";"41";"135,35";"";" ";"null";"null"
"";"null";"null";"45";"135,30";"";" ";"null";"null"
"";"null";"null";"54";"135,09";"";" ";"null";"null"
"12132";"8998866200301";"WINGSFOOD, Mie Sedaap gebratene Nudeln, 90g";"275";"135,02";"";" ";"";""
"";"null";"null";"27";"135,00";"";" ";"null";"null"
"";"null";"null";"15";"135,00";"";" ";"null";"null"
"";"null";"null";"112";"133,68";"";" ";"null";"null"
"17120";"8993440140196";"NESIA, Hänchensuppe Soto Gewürze, 230 g";"38";"133,50";"";" ";"NESIA";""
"";"null";"null";"46";"132,94";"";" ";"null";"null"
"35089";"8992933219111";"Nutrijell, Jellypulver mit Grassjelly-Geschmack, 15 g";"133";"132,75";"";" ";"Nutrijell";""
"";"null";"null";"53";"132,50";"";" ";"null";"null"
"";"null";"null";"192";"132,25";"";" ";"null";"null"
"";"null";"null";"49";"131,81";"";" ";"null";"null"
"";"null";"null";"14";"131,78";"";" ";"null";"null"
"";"null";"null";"102";"131,68";"";" ";"null";"null"
"";"null";"null";"142";"131,67";"";" ";"null";"null"
"";"null";"null";"133";"131,37";"";" ";"null";"null"
"";"null";"null";"162";"131,32";"";" ";"null";"null"
"";"null";"null";"134";"130,98";"";" ";"null";"null"
"12144";"8801073114685";"SAMYANG, Instant-Nudeln Tomato Pasta, 140 g";"106";"130,90";"";" ";"SAMYANG";""
"";"null";"null";"83";"130,86";"";" ";"null";"null"
"";"null";"null";"45";"130,05";"";" ";"null";"null"
"";"null";"null";"10";"130,00";"";" ";"null";"null"
"21093";"8993440100107";"NESIA, Chilipaste (PEMUDA) Extra Scharf, 230 g";"37";"129,88";"";" ";"NESIA";""
"";"null";"null";"52";"129,50";"";" ";"null";"null"
"42023";"42015";"Warung Bakso, Somay";"12";"129,25";"";" ";"Warung Bakso";""
"17108";"8714573014020";"ASLI, Gado-Gado Gewürze, 200 g";"65";"128,73";"";" ";"ASLI";""
"35012";"8992984821110";"KOEPOE-KOEPOE, Back-Hilfsmittel Ovalett, 30 g";"74";"128,71";"";" ";"KOEPOE-KOEPOE";""
"";"null";"null";"15";"128,56";"";" ";"null";"null"
"";"null";"null";"33";"128,37";"";" ";"null";"null"
"";"null";"null";"112";"128,22";"";" ";"null";"null"
"51042";"8997234000109";"IDN.CO, Indonesischer Premium Kaffee FINE ROBUSTA, 250g";"13";"127,78";"";" ";"IDN.CO";""
"";"null";"null";"107";"127,59";"";" ";"null";"null"
"20023";"8886303211006";"KARA, Kokosmilch UHT, 1000 ml";"32";"127,48";"";" ";"KARA";""
"";"null";"null";"130";"127,41";"";" ";"null";"null"
"";"null";"null";"109";"127,33";"";" ";"null";"null"
"";"null";"null";"32";"127,25";"";" ";"null";"null"
"";"null";"null";"43";"126,96";"";" ";"null";"null"
"34011";"8996001320136";"KOPIKO, Cappuccino-Bonbon, 150 g";"83";"126,27";"";" ";"KOPIKO";""
"32165";"8992775110119";"32165";"36";"126,00";"";" ";"GARUDA";""
"";"null";"null";"40";"125,50";"";" ";"null";"null"
"";"null";"null";"43";"125,42";"";" ";"null";"null"
"51034";"8997234000031";"IDN.CO, Indonesischer Premium Kaffee KERINCI, 250 g";"13";"125,18";"";" ";"IDN.CO";""
"18034";"8999999035976";"Royco, Rindfleischbällchensoße, 100 g";"79";"125,17";"";" ";"";""
"";"null";"null";"57";"124,83";"";" ";"null";"null"
"10020";"8005734101551";"SUN CLAD, Basmati Reis, 1 kg";"42";"124,72";"";" ";"SUN CLAD";""
"";"null";"null";"63";"123,92";"";" ";"null";"null"
"14002";"8995899110416";"KOBE, Kalasan Gewürz, 35 g";"107";"123,59";"";" ";"KOBE";""
"14469";"8994155110153";"CAP WAYANG, Fischchips Palembang, 500 g";"19";"123,50";"";" ";"CAP WAYANG";""
